Car,Model,Mode,Driven (km),Fuel,Horse Power,Location,Price (Rs : lacs)
Honda City 5th Generation 2013 Aspire 1.5 i-VTEC ,2003,Automatic,"150,000",Petrol,2000,Lahore,PKR 19.5 lacs
Honda BR-V  2020 i-VTEC S ,2018,Automatic,"42,000",Petrol,3600,Lahore,PKR 3 crore
Mitsubishi Pajero  1993  ,2015,Automatic,"140,000",Petrol,1500,Lahore,PKR 40.9 lacs
Toyota Yaris  2020 ATIV MT 1.3 ,1996,Manual,"1,500",Diesel,2400,Lahore,PKR 24 lacs
SsangYong Stavic  2006  ,2006,Manual,"400,000",Petrol,1000,Lahore,PKR 7 lacs
Haval H6  2022 1.5T ,2006,Automatic,"140,000",Petrol,2400,Lahore,PKR 31.5 lacs
Toyota Passo  2019 X G Package ,2022,Automatic,"41,500",Petrol,1200,Lahore,PKR 61.9 lacs
Hyundai Coupe  2006  ,2022,Automatic,"1,900",Petrol,1600,Lahore,PKR 92.5 lacs
Honda Vezel  2016 Hybrid Z Honda Sensing  ,2017,Automatic,"27,000",Petrol,2700,Lahore,PKR 1.19 crore
KIA Sport,2020,Automatic,"20,000",Hybrid,660,Lahore,PKR 31.75 lacs
Audi,2019,Automatic,"31,000",Petrol,660,Lahore,PKR 23.75 lacs
Toyota Ya,2022,Automatic,"28,000",Petrol,2500,Lahore,Call
Honda C,2022,Automatic,"1,000",Electric,837.0,Lahore,Call
Suzuki Cul,2021,Automatic,"14,700",Petrol,1000,Lahore,PKR 43.5 lacs
Toyota Coro,2021,Automatic,"50,000",Diesel,2800,Lahore,PKR 1.52 crore
Toyota Pr,2019,Automatic,"7,000",Petrol,1500,Lahore,PKR 1.35 crore
Honda C,2005,Automatic,"218,000",Diesel,3000,Lahore,PKR 82 lacs
Honda N ,2021,Automatic,"67,000",Petrol,1500,Lahore,PKR 50.9 lacs
Suzuki Cul,2023,Automatic,"2,200",Petrol,2500,Lahore,PKR 1.18 crore
Mitsubishi EK X  2019 Hybrid Turbo Crossover 2WD ,2015,Automatic,"93,000",Petrol,1300,Lahore,PKR 33.9 lacs
Nissan Dayz  2021 X ,2015,Manual,"1,234",Petrol,800,Lahore,PKR 12.75 lacs
Nissan Dayz  2020 X ,2012,Automatic,"128,000",Petrol,1500,Lahore,PKR 33.7 lacs
Suzuki Wagon R  2020 Hybrid FX ,2021,Automatic,"17,000",Petrol,2000,Lahore,PKR 82 lacs
Daihatsu Mira  2019 X ,2021,Automatic,"8,000",Petrol,1490,Lahore,PKR 74 lacs
Toyota Aqua  2018 S ,2021,Automatic,"15,000",Petrol,1500,Lahore,PKR 66.5 lacs
Toyota Corolla  2020 Altis Automatic 1.6 ,2020,Automatic,"62,000",Petrol,658,Lahore,PKR 33.75 lacs
Toyota Roomy  2020 XS ,2021,Automatic,"3,000",Hybrid,659,Lahore,PKR 38.75 lacs
Honda Vezel  2018 Hybrid X L Package ,2020,Automatic,"82,000",Petrol,660,Lahore,PKR 34 lacs
Suzuki Cultus  2006 VXL ,2020,Automatic,"24,000",Petrol,660,Lahore,PKR 34.5 lacs
Suzuki Swift  2012 DLX 1.3 ,2008,Manual,"22,222",Petrol,1000,Lahore,PKR 8.4 lacs
Toyota Prius  2012 G Touring Selection Leather Package 1.8 ,2016,Automatic,"82,000",Petrol,1300,Lahore,PKR 39 lacs
Suzuki Bolan  2008 VX ,2006,Automatic,"180,000",Petrol,660,Lahore,PKR 14.25 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2016,Manual,"70,000",Petrol,1000,Lahore,PKR 20.2 lacs
Honda Civic  2022 Oriel 1.8 i-VTEC CVT ,2011,Manual,"234,000",Petrol,1800,Lahore,PKR 22.5 lacs
Suzuki Cultus  2018 VXR ,2017,Automatic,"110,000",Petrol,1000,Lahore,PKR 26.5 lacs
Mitsubishi Ek Wagon  2019 X Hybrid Turbo (Crossover) 2WD ,2014,Automatic,"75,000",Petrol,660,Lahore,PKR 27.5 lacs
Toyota C-HR  2017 G-LED ,2021,Automatic,"35,000",Electric,75.0,Lahore,PKR 2.4 crore
Honda Vezel  2014 Hybrid Z ,2009,Automatic,"87,000",Petrol,1000,Lahore,PKR 21.25 lacs
Honda Civic  2019 Oriel 1.8 i-VTEC CVT ,2020,Automatic,"42,000",Petrol,1300,Lahore,PKR 47 lacs
Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC ,2024,Automatic,10,Petrol,1600,Lahore,PKR 1.48 crore
Changan Karvaan  2020 Base Model 1.0 ,2022,Automatic,"40,600",Petrol,1500,Lahore,PKR 37.5 lacs
Toyota Hilux  2018 Revo V Automatic 2.8 ,2016,Automatic,"105,000",Hybrid,0.0,Lahore,PKR 44.95 lacs
Nissan Dayz  2014 X ,2019,Automatic,"70,000",Petrol,1800,Lahore,PKR 58.5 lacs
Suzuki Mehran  2019 VXR Euro II ,2018,Automatic,"55,000",Petrol,1400,Lahore,PKR 1.48 crore
Honda City  2018 1.3 i-VTEC Prosmatec ,2007,Automatic,"104,000",Petrol,5500,Lahore,PKR 1.55 crore
Toyota Vitz  2010 F 1.0 ,2015,Automatic,"82,000",Petrol,3600,Lahore,PKR 2 crore
Honda Vezel  2018 Hybrid RS Honda Sensing  ,2022,Automatic,"11,500",Petrol,1600,Lahore,PKR 95 lacs
KIA Sportage  2022 FWD ,2020,Automatic,"52,000",Petrol,1500,Lahore,PKR 2.62 crore
Hyundai Sonata  2023 2.5 ,2023,Automatic,"10,000",Petrol,1500,Lahore,PKR 75 lacs
Daihatsu Mira  2012  ,2010,Automatic,"158,000",Petrol,2700,Lahore,PKR 1.48 crore
Suzuki Cultus  2018 VXR ,2021,Automatic,"25,230",Hybrid,1500,Lahore,PKR 1.42 crore
Suzuki Wagon R  2019 VXL ,2020,Automatic,"110,000",Hybrid,1200,Lahore,PKR 58.75 lacs
Suzuki Alto  2022 VXR ,2023,Automatic,"2,500",Petrol,2000,Lahore,PKR 85.5 lacs
Toyota Sienta  2018 G ,2022,Automatic,"9,100",Hybrid,660,Lahore,PKR 38.5 lacs
Mercedes Benz E Class  2005 E200 ,2019,Automatic,"15,000",Petrol,660,Lahore,PKR 33.5 lacs
Nissan Dayz  2017 J ,2013,Automatic,"175,000",Petrol,1600,Lahore,PKR 26.5 lacs
KIA Sport,1989,Manual,"200,000",Petrol,800,Lahore,PKR 1.7 lacs
Audi,1984,Manual,"123,456",Diesel,1000,Lahore,PKR 3.95 lacs
Toyota Ya,2020,Automatic,"18,000",Petrol,996,Lahore,PKR 74.5 lacs
Honda C,2022,Manual,"7,850",Petrol,1000,Lahore,PKR 32 lacs
Suzuki Cul,2015,Automatic,"79,000",Petrol,1000,Lahore,PKR 31 lacs
Toyota Coro,2006,Manual,"149,000",Petrol,1800,Lahore,PKR 18.75 lacs
Toyota Pr,1990,Automatic,"166,000",Petrol,3000,Lahore,PKR 45 lacs
Honda C,2021,Automatic,"17,000",Petrol,1800,Lahore,PKR 62 lacs
Honda N ,2012,Automatic,"150,000",Petrol,1500,Lahore,PKR 36 lacs
Suzuki Cul,2003,Manual,"87,000",Petrol,1000,Lahore,PKR 9 lacs
Mitsubishi Pajero Mini  1999  ,1993,Automatic,"185,579",Petrol,1500,Lahore,PKR 7.7 lacs
Honda N One  2016 Premium ,2004,Manual,"123,456",LPG,800,Lahore,PKR 5.15 lacs
Hyundai Santa Fe  2024 Signature ,2019,Automatic,"45,000",Petrol,1500,Lahore,PKR 65.9 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior ,2022,Automatic,"2,000",Petrol,1497,Lahore,PKR 55 lacs
Toyota Corolla  2002 XLi ,2004,Manual,"154,000",Petrol,1600,Lahore,PKR 13.9 lacs
Suzuki APV  2013 GLX ,1992,Manual,"999,999",Petrol,1000,Lahore,PKR 3.2 lacs
Toyota Pixis Epoch  2020 G ,2022,Automatic,"16,500",Petrol,1000,Lahore,PKR 32.5 lacs
Toyota Esquire  2018 Gi ,2008,Automatic,"127,000",Petrol,4600,Lahore,PKR 1.7 crore
Suzuki Alto  2019 VXL AGS ,2019,Automatic,"50,000",Petrol,1500,Lahore,PKR 63 lacs
Honda Civic Eagle Eye 2005 EXi Prosmatec ,2013,Automatic,"127,000",Petrol,1800,Lahore,PKR 37.7 lacs
Daihatsu Hijet  2017 Cruise ,2019,Automatic,"20,000",Petrol,660,Lahore,Call
Suzuki Cultus  2014 EURO II ,2011,Automatic,"93,000",Hybrid,1800,Lahore,PKR 42 lacs
Nissan Clipper  2022  ,2002,Automatic,"88,000",Petrol,1600,Lahore,PKR 14.85 lacs
Suzuki Cultus  2021 VXL ,1990,Automatic,"10,000",Petrol,3000,Lahore,PKR 19.4 lacs
Toyota Corolla  2024 Altis 1.6 X CVT-i Special Edition ,2015,Automatic,"59,000",Petrol,2400,Lahore,PKR 44 lacs
Toyota Vitz  2018 F 1.0 ,2003,Automatic,"126,000",Petrol,2700,Lahore,PKR 70 lacs
Hyundai Elantra  2021 GLS ,2018,Automatic,"78,000",Petrol,660,Lahore,PKR 31 lacs
Suzuki Wagon R  2021 Hybrid FX ,2022,Automatic,"7,100",Electric,84.0,Lahore,PKR 4.35 crore
Honda Civic  2017 1.8 i-VTEC CVT ,2016,Automatic,"37,000",Petrol,4600,Lahore,PKR 4.35 crore
Suzuki Wagon R  2022 AGS ,2021,Automatic,"80,000",Petrol,2000,Lahore,PKR 78 lacs
Toyota Aqua  2014 G ,2022,Automatic,"2,800",Petrol,1500,Lahore,PKR 97 lacs
Honda City 5th Generation 2012 1.3 i-VTEC Prosmatec ,2023,Automatic,"15,500",Petrol,2000,Lahore,PKR 85 lacs
Suzuki Cultus  2011 VXRi ,2002,Automatic,"290,000",Petrol,1600,Lahore,PKR 17.75 lacs
Toyota Corolla Axio  2007 X 1.5 ,2006,Automatic,"70,294",Petrol,1500,Lahore,PKR 21.75 lacs
Toyota Corolla Hybrid  2015  ,2024,Automatic,1,Diesel,2800,Lahore,PKR 1.39 crore
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition ,2024,Automatic,1,Petrol,2700,Lahore,PKR 1.71 crore
Honda City  2022 1.5L ASPIRE CVT ,2022,Automatic,"48,000",Petrol,1500,Lahore,PKR 52 lacs
Honda N Wgn  2022  ,2005,Manual,"12,345",Petrol,1300,Lahore,PKR 14 lacs
Daihatsu Mira  2022 X SA lll ,2021,Automatic,"4,800",Petrol,2700,Lahore,PKR 1.44 crore
Honda Civic  2019 Oriel 1.8 i-VTEC CVT ,2016,Automatic,"63,000",Petrol,1600,Lahore,PKR 89 lacs
Honda Thats  2007 Item ,2023,Automatic,3,Diesel,2800,Lahore,PKR 2.2 crore
Suzuki Mehran  2017 VXR Euro II ,2012,Manual,"168,000",Diesel,2200,Lahore,PKR 85 lacs
Toyota Prado  2006 TX 2.7 ,1999,Manual,"90,000",Petrol,4497,Lahore,PKR 60.5 lacs
KIA Sportage  2021 AWD ,2017,Automatic,"47,000",Petrol,1500,Lahore,PKR 69.5 lacs
Daihatsu Mira  2020 G SA III ,2017,Manual,"162,226",Petrol,1300,Lahore,PKR 33.5 lacs
Mazda Flair  2021 XG ,2014,Automatic,"140,000",Hybrid,1800,Lahore,PKR 49.9 lacs
Toyota Passo  2020 Moda ,2022,Automatic,"25,000",Petrol,1598,Lahore,PKR 58 lacs
KIA Sport,2000,Automatic,"177,000",Petrol,1600,Lahore,PKR 12.9 lacs
Audi,2012,Manual,"130,000",Petrol,1300,Lahore,PKR 25 lacs
Toyota Ya,2018,Manual,"99,999",Petrol,1000,Lahore,PKR 19.5 lacs
Honda C,2007,Automatic,"104,500",Petrol,1500,Lahore,PKR 28.6 lacs
Suzuki Cul,2005,Manual,"298,000",Petrol,1300,Lahore,PKR 7.6 lacs
Toyota Coro,2010,Manual,"150,000",Petrol,800,Lahore,PKR 8.65 lacs
Toyota Pr,2006,Automatic,"120,000",Petrol,1300,Lahore,PKR 21.65 lacs
Honda C,2022,Automatic,"21,000",Diesel,2800,Lahore,PKR 1.69 crore
Honda N ,2017,Automatic,"73,000",Petrol,1000,Lahore,PKR 26.5 lacs
Suzuki Cul,2013,Automatic,"64,000",Petrol,660,Lahore,PKR 14.75 lacs
KIA Sportage  2022 AWD ,2020,Automatic,"74,000",Petrol,1600,Lahore,PKR 49.5 lacs
Range Rover Vogue  2013 Autobiography ,2023,Manual,"5,000",Petrol,660,Lahore,PKR 24.7 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior ,2008,Automatic,"95,000",Petrol,1800,Lahore,PKR 26.5 lacs
Toyota Land Cruiser  2008 AX G Selection ,2017,Automatic,"74,000",Petrol,1000,Lahore,PKR 34 lacs
Suzuki Cultus  2010 VXRi ,2023,Automatic,14,Petrol,2000,Lahore,PKR 88 lacs
Toyota Passo  2017 X L Package ,2023,Automatic,10,Petrol,1500,Lahore,PKR 85 lacs
KIA Grand Carnival  2018 EX+ ,2024,Automatic,1,Diesel,2800,Lahore,PKR 1.81 crore
Toyota Corolla  2018 GLi Automatic 1.3 VVTi ,2014,Automatic,"107,000",Petrol,4608,Lahore,PKR 3.3 crore
KIA Sportage  2023 FWD ,2024,Automatic,1,Diesel,2800,Lahore,PKR 2.17 crore
Honda Civic  2018 Oriel 1.8 i-VTEC CVT ,2024,Automatic,1,Diesel,2800,Lahore,PKR 1.56 crore
Daihatsu Cuore  2005 CL ,2020,Automatic,"43,000",Electric,62.0,Lahore,PKR 1.08 crore
Honda City  2006 i-DSI ,2018,Automatic,"74,000",Petrol,2700,Lahore,PKR 84 lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC ,2003,Automatic,"94,000",Petrol,4700,Lahore,PKR 1.05 crore
Suzuki Wagon R  2009 Limited ,2019,Automatic,"15,450",Petrol,660,Lahore,PKR 32 lacs
Toyota Prado  2018 TX L Package 2.7 ,2021,Automatic,"3,000",Hybrid,1200,Lahore,PKR 87 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior ,2016,Automatic,"36,000",Hybrid,1500,Lahore,PKR 75 lacs
Toyota Land Cruiser  2008 AX G Selection ,2015,Automatic,"135,000",Petrol,1800,Lahore,PKR 36.8 lacs
Changan Karvaan  2022 Plus ,2021,Manual,"21,000",Petrol,660,Lahore,PKR 23.95 lacs
Suzuki Mehran  2013 VX Euro II ,2001,Manual,"328,280",Petrol,1300,Lahore,PKR 10.5 lacs
Mitsubishi L200  2007  ,2017,Automatic,"65,000",Hybrid,1500,Lahore,PKR 48.5 lacs
Nissan Dayz  2014 X ,2021,Manual,"23,500",Petrol,1000,Lahore,PKR 31.5 lacs
Daihatsu Mira  2005 L ,2013,Manual,"11,000",Petrol,800,Lahore,PKR 11.8 lacs
Toyota Corolla  2019 Altis Automatic 1.6 ,2018,Automatic,"106,000",Petrol,1600,Lahore,PKR 47.5 lacs
Honda Civic  2007 VTi Prosmatec 1.8 i-VTEC ,2017,Automatic,"74,000",Petrol,1800,Lahore,PKR 49 lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC ,2014,Automatic,"120,000",Petrol,660,Lahore,PKR 27 lacs
Suzuki Alto  2022 VXR ,2015,Manual,"117,000",Petrol,1300,Lahore,PKR 29.5 lacs
Toyota Corolla  2016 Altis Automatic 1.6 ,2017,Automatic,"110,000",Petrol,1600,Lahore,PKR 45.9 lacs
Honda Vezel  2018 Hybrid Z ,1988,Manual,1,Petrol,800,Lahore,PKR 2.6 lacs
Suzuki Swift  2022 GLX CVT ,2008,Manual,"58,000",Petrol,1000,Lahore,PKR 8.5 lacs
KIA Picanto  2022 1.0 AT ,2021,Manual,"50,000",Petrol,1000,Lahore,PKR 33 lacs
KIA Picanto  2022 1.0 AT ,2017,Manual,"190,000",Petrol,1000,Lahore,PKR 22.5 lacs
Honda City 6th Generation 2022 1.5L ASPIRE CVT ,2021,Automatic,"25,000",Petrol,660,Lahore,PKR 27.5 lacs
Suzuki Wagon R  2020 FA ,2007,Manual,"145,000",Petrol,1300,Lahore,PKR 16 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior ,2022,Automatic,"35,000",Petrol,1200,Lahore,PKR 44.5 lacs
Toyota Corolla  2017 GLi Automatic 1.3 VVTi ,2007,Automatic,150,Petrol,1000,Lahore,PKR 23.5 lacs
Toyota Vitz  2012 F 1.0 ,2018,Automatic,"137,000",Petrol,1500,Lahore,PKR 83.5 lacs
Toyota Prado  2018 TX L Package 2.7 ,2012,Automatic,"72,000",Petrol,1500,Lahore,PKR 34.99 lacs
KIA Sport,2016,Manual,"63,900",Petrol,1300,Lahore,PKR 21.85 lacs
Audi,2021,Automatic,"86,000",Petrol,1000,Lahore,PKR 48.5 lacs
Toyota Ya,2015,Automatic,"96,000",Petrol,1000,Lahore,PKR 34 lacs
Honda C,2020,Automatic,"15,000",Petrol,659,Lahore,PKR 35.25 lacs
Suzuki Cul,2018,Automatic,"88,000",Hybrid,1800,Lahore,PKR 84.95 lacs
Toyota Coro,2009,Automatic,"147,000",Petrol,3500,Lahore,PKR 99.75 lacs
Toyota Pr,2003,Automatic,"149,000",Petrol,2700,Lahore,PKR 69.95 lacs
Honda C,2004,Automatic,"135,000",Petrol,2000,Lahore,PKR 23.95 lacs
Honda N ,2003,Automatic,"160,000",Petrol,2700,Lahore,PKR 63.5 lacs
Suzuki Cul,2003,Automatic,"174,000",Petrol,2000,Lahore,PKR 27.5 lacs
Toyota Passo  2020 X S  ,2024,Automatic,1,Diesel,2800,Lahore,PKR 1.67 crore
Toyota Raize  2020 Z ,2024,Automatic,1,Diesel,2800,Lahore,PKR 1.67 crore
Suzuki Wagon R  2021  ,2021,Automatic,"53,500",Hybrid,1500,Lahore,PKR 1.22 crore
Toyota Prius  2006 S 1.5 ,2005,Manual,"260,000",Petrol,1300,Lahore,PKR 7 lacs
Toyota Corolla Cross  2024 1.8 HEV X ,2023,Automatic,1,Diesel,2800,Lahore,PKR 1.64 crore
Daihatsu Mira  2022  ,2023,Automatic,30,Hybrid,1600,Lahore,PKR 1.48 crore
Mercedes Benz C Class  2011 C180 ,2020,Automatic,"2,560",Petrol,1300,Lahore,PKR 43 lacs
Audi A4  2016 1.4 TFSI  ,2013,Automatic,"152,463",Petrol,1000,Lahore,PKR 20.9 lacs
Lexus RX Series  2012 450h ,2006,Manual,"180,000",Petrol,1300,Lahore,PKR 16 lacs
Honda Civic  2019 Oriel 1.8 i-VTEC CVT ,2015,Manual,"77,000",Petrol,1300,Lahore,PKR 27 lacs
Toyota Passo  2017 X S  ,2017,Automatic,"49,000",Petrol,1500,Lahore,PKR 69.95 lacs
Suzuki Alto  2022 VXR ,2012,Manual,"165,000",Petrol,1000,Lahore,PKR 12.7 lacs
Mercedes Benz C Class  2017 C180 AMG ,2015,Manual,"86,425",Petrol,800,Lahore,PKR 9.6 lacs
Honda Civic  2013 VTi Oriel Prosmatec 1.8 i-VTEC ,2009,Automatic,"129,000",Petrol,1300,Lahore,PKR 26.5 lacs
Hyundai Elantra  2023 GLS ,2018,Automatic,"61,000",Petrol,1800,Lahore,PKR 59 lacs
Toyota Corolla  2019 GLi Automatic 1.3 VVTi ,2011,Manual,"128,000",Petrol,1300,Lahore,PKR 23.95 lacs
Toyota Yaris  2021 ATIV X CVT 1.5 ,2007,Manual,"23,000",Petrol,1000,Lahore,PKR 11.25 lacs
Honda Vezel  2017 Hybrid RS Honda Sensing  ,2013,Manual,"120,000",Petrol,1300,Lahore,PKR 28 lacs
Toyota Aqua  2016 G ,2004,Automatic,"189,000",Petrol,1600,Lahore,PKR 18.2 lacs
Toyota Prado  2011 TX 2.7 ,2017,Automatic,"69,000",Petrol,1800,Lahore,PKR 52.5 lacs
MG HS  2022 Trophy ,2020,Automatic,"62,000",Petrol,1300,Lahore,PKR 41 lacs
Honda Civic 11th Generation 2022 Oriel ,2022,Automatic,"15,000",Hybrid,660,Lahore,PKR 41.5 lacs
Audi e-tron  2020 50 Quattro 230 kW ,2023,Automatic,30,Petrol,1800,Lahore,PKR 78 lacs
Toyota Prius  2010 G Touring Selection Leather Package 1.8 ,2012,Manual,"121,432",Petrol,1000,Lahore,PKR 10.75 lacs
Toyota Fortuner  2017 2.7 VVTi ,2019,Automatic,"75,000",Petrol,1300,Lahore,PKR 37.25 lacs
Honda City  2021 1.2L M/T ,2013,Automatic,"167,000",Petrol,2700,Lahore,PKR 71 lacs
Suzuki Cultus  2004 VXL (CNG) ,2016,Automatic,"100,000",Petrol,1600,Lahore,PKR 37.5 lacs
Suzuki Liana  2006 LXi Sport ,2017,Manual,"130,000",Petrol,800,Lahore,PKR 10.8 lacs
Honda Civic  2017 Oriel 1.8 i-VTEC CVT ,2016,Automatic,"108,000",Petrol,1600,Lahore,PKR 39.8 lacs
Suzuki Liana  2006 LXi Sport ,2016,Automatic,"51,000",Petrol,160,Lahore,PKR 1.56 crore
Suzuki Alto  2020  ,2021,Manual,"13,200",Petrol,1000,Lahore,PKR 33.9 lacs
Nissan Dayz  2015 Bolero X ,2023,Automatic,93,Diesel,2800,Lahore,PKR 2.1 crore
Hyundai Santro  2005 Exec GV ,2022,Automatic,"9,448",Diesel,2800,Lahore,PKR 1.85 crore
Honda City  2016 Aspire Prosmatec 1.5 i-VTEC ,2023,Automatic,30,Petrol,2500,Lahore,PKR 1.17 crore
Toyota Fortuner  2022 2.7 VVTi ,2020,Automatic,"29,500",Petrol,1300,Lahore,PKR 87.5 lacs
Toyota Land Cruiser  2013 ZX ,2009,Automatic,"136,000",Petrol,3500,Lahore,PKR 78 lacs
Mercedes Benz E Class  2016 E200 ,2015,Automatic,"90,000",Diesel,2800,Lahore,PKR 1.07 crore
KIA Sport,2020,Automatic,"29,500",Petrol,1500,Lahore,PKR 74.5 lacs
Audi,2022,Automatic,"14,000",Petrol,1500,Lahore,PKR 94 lacs
Toyota Ya,2021,Automatic,"3,900",Hybrid,1800,Lahore,PKR 1.52 crore
Honda C,2017,Automatic,"91,400",Hybrid,1800,Lahore,PKR 85.5 lacs
Suzuki Cul,2022,Automatic,"31,000",Petrol,1200,Lahore,PKR 59.7 lacs
Toyota Coro,2004,Automatic,"153,000",Petrol,2700,Lahore,PKR 80 lacs
Toyota Pr,2018,Automatic,"110,000",Petrol,660,Lahore,PKR 24 lacs
Honda C,2010,Manual,"200,000",Petrol,1300,Lahore,PKR 25.75 lacs
Honda N ,2013,Manual,"123,000",Petrol,1800,Lahore,PKR 30 lacs
Suzuki Cul,2021,Automatic,"48,000",Petrol,1000,Lahore,PKR 35.75 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2002,Manual,"145,283",Petrol,1000,Lahore,PKR 7.36 lacs
Nissan Roox  2021 S Hybrid ,2022,Automatic,"13,000",Petrol,660,Lahore,PKR 27 lacs
Nissan Leaf  2021  ,2020,Automatic,"11,000",Hybrid,660,Lahore,PKR 42.75 lacs
Toyota Land Cruiser  2016 ZX ,2015,Automatic,168,Petrol,1300,Lahore,PKR 29.5 lacs
Toyota Land Cruiser  2021 ZX ,2022,Automatic,"1,000",Petrol,660,Lahore,PKR 37.5 lacs
Toyota Land Cruiser 100 Series 2005 VX Limited 4.2D ,2019,Automatic,"22,000",Petrol,996,Lahore,PKR 40.5 lacs
Daihatsu Taft  2021  ,2008,Manual,"69,700",Petrol,800,Lahore,PKR 6.5 lacs
Suzuki Wagon R  2021 Hybrid FX ,2003,Manual,"95,590",Petrol,1000,Lahore,PKR 7.2 lacs
Range Rover Vogue  2018 P400e ,2019,Automatic,"68,000",Petrol,1600,Lahore,PKR 52 lacs
Honda City 6th Generation 2022 1.2L CVT ,2008,Manual,"90,000",Petrol,1100,Lahore,PKR 10.8 lacs
Nissan Kicks  2020 XV Premium ,2020,Automatic,"6,500",Electric,50.0,Lahore,PKR 1.55 crore
Suzuki Wagon R  2022 AGS ,2016,Automatic,"156,000",Petrol,1500,Lahore,PKR 33.8 lacs
KIA Stonic  2024 EX+ ,2018,Manual,"70,000",Petrol,1000,Lahore,PKR 24.8 lacs
Prince K01  2018  ,2020,Automatic,"70,000",Petrol,1300,Lahore,PKR 44 lacs
Toyota Vitz  2015  ,2021,Automatic,"58,000",Petrol,2000,Lahore,PKR 67 lacs
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior ,2021,Automatic,"23,000",Hybrid,1200,Lahore,PKR 66 lacs
Suzuki Alto  2020 VXL AGS ,2022,Automatic,"3,000",Diesel,2800,Lahore,PKR 1.53 crore
Toyota Yaris  2021 GLI MT 1.3 ,2003,Manual,"169,882",Petrol,1300,Lahore,PKR 11.55 lacs
Daihatsu Move  2020 L SA 3 ,2019,Automatic,"55,000",Petrol,1300,Lahore,PKR 37.5 lacs
Suzuki Alto  2022 VXL AGS ,2016,Automatic,"68,000",Petrol,1600,Lahore,PKR 1.46 crore
Honda Civic Reborn 2006 VTi Oriel Prosmatec 1.8 i-VTEC ,2016,Automatic,"35,000",Petrol,1800,Lahore,PKR 1.46 crore
Toyota Corolla  2013 GLi 1.3 VVTi ,2023,Automatic,110,Petrol,1490,Lahore,PKR 78 lacs
Honda Civic  2022 1.5 RS Turbo ,1993,Manual,"105,000",Diesel,2500,Lahore,PKR 23.95 lacs
Hyundai Santa Fe  2024 Signature ,1985,Manual,"20,000",Diesel,3500,Lahore,PKR 22.5 lacs
Honda City 6th Generation 2023 1.2L M/T ,2023,Automatic,35,Petrol,1299,Lahore,PKR 38.75 lacs
Toyota Fortuner  2016 TRD Sportivo ,2020,Automatic,"85,737",Hybrid,1800,Lahore,PKR 97.5 lacs
Suzuki Wagon R  2023 VXL ,2022,Automatic,450,Petrol,2000,Lahore,PKR 83.85 lacs
Suzuki Cultus  2015 EURO II ,2019,Automatic,"44,000",Petrol,1800,Lahore,PKR 59 lacs
Changan Alsvin  2021 1.5L DCT Lumiere ,2022,Automatic,"28,000",Petrol,1500,Lahore,PKR 79 lacs
MG ZS  2021 1.5L ,2017,Automatic,"140,000",Petrol,2700,Lahore,PKR 1.12 crore
Daihatsu Mira  2020  ,2018,Automatic,"51,000",Petrol,1800,Lahore,PKR 1.65 crore
Suzuki Hustler  2020 G ,2021,Automatic,"15,000",Petrol,2400,Lahore,PKR 86 lacs
Nissan Dayz  2020 S ,2022,Automatic,"20,700",Petrol,1600,Lahore,PKR 59.3 lacs
Honda N Wgn  2020 G L Package ,2017,Automatic,"64,000",Petrol,1500,Lahore,PKR 80 lacs
Honda City  2023 1.5L ASPIRE CVT ,2021,Automatic,"14,000",Hybrid,660,Lahore,PKR 40 lacs
Honda City  2018 1.3 i-VTEC ,2019,Manual,"44,000",Petrol,1000,Lahore,PKR 23.5 lacs
Suzuki Alto  2023 VX ,2018,Automatic,"56,000",Petrol,2700,Lahore,PKR 2.58 crore
KIA Sport,2019,Manual,"85,000",Petrol,660,Lahore,PKR 21 lacs
Audi,2006,Manual,"44,000",Petrol,800,Lahore,PKR 6.4 lacs
Toyota Ya,2021,Automatic,"85,000",Petrol,660,Lahore,PKR 27.5 lacs
Honda C,1994,Automatic,"185,000",Diesel,2800,Lahore,PKR 33 lacs
Suzuki Cul,2010,Automatic,"50,000",Petrol,1000,Lahore,PKR 13 lacs
Toyota Coro,1992,Manual,"200,000",Petrol,1000,Lahore,PKR 4.6 lacs
Toyota Pr,2019,Automatic,"59,000",Hybrid,1200,Lahore,PKR 46 lacs
Honda C,2016,Automatic,"58,000",Petrol,660,Lahore,PKR 27.5 lacs
Honda N ,2017,Manual,"157,000",Petrol,1000,Lahore,PKR 22 lacs
Suzuki Cul,2009,Manual,"100,000",Petrol,1300,Lahore,PKR 14.95 lacs
Suzuki Swift  2022 GLX CVT ,2023,Manual,"4,500",Petrol,660,Lahore,PKR 25.55 lacs
